Person,Category,Quality,Text
A,Closure,Positive,Is there anything else that I can further assist you with today?
A,Closure,Positive,You are most welcome.
A,Closure,Positive,"Again, thank you so much for calling Ava's Flowers."
A,Closure,Positive,Have a great day.
A,Closure,Positive,Bye.
A,Greetings,Positive,Thank you for calling.
A,Greetings,Positive,My name is Jeline.
A,Greetings,Positive,May I have your name please?
A,Engagement,Positive,I'm doing very well.
A,Engagement,Positive,Thank you so much for asking.
A,Engagement,Positive,How about you?
A,Engagement,Positive,"Oh, I hope I can make you feel better today."
A,Greetings,Positive,How can  help you?
A,Engagement,Positive,I can only imagine how difficult it is for you not to have a working phone.
A,Problem Investigation,Positive,"Since you mentioned that you're in hospital right now and you need to get in touch with your son immediately, I'll make sure that I won't let you go unless and until all your services is up and running."
A,Engagement,Positive,Okay?
A,Engagement,Positive,You are welcome.
A,Problem Investigation,Positive,"And, just in case that we need to do some troubleshooting steps, do you have any alternate number that I can use?"
A,Account Verification,Positive,"Thank you and to make sure that I'll be looking at the right account, may I know the phone number that you're calling in about?"
A,Account Verification,Positive,Thank you so much Amanda and your account security code please?
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"Alright, so as I looked into your account, I've seen that you're in a forty dollar plan that gives you four gigs of data with unlimited calls and text."
A,Problem Investigation,Positive,And your plan will not expire until the 14th of October.
A,Problem Investigation,Positive,You've mentioned earlier that you don't have a service right.
A,Problem Investigation,Positive,So which of your services is not working?
A,Problem Investigation,Positive,Alright how about sending and receiving messages?
A,Problem Investigation,Positive,Do you have any problems with those?
A,Problem Investigation,Positive,What about your internet?
A,Problem Investigation,Positive,I just really want to make sure that you don't have any problems with those.
A,Problem Investigation,Positive,"And, now we just really need to focus on your phone calls."
A,Problem Investigation,Positive,"So, let me ask you this have you tried doing any basic troubleshooting before you called?"
A,Problem Investigation,Positive,Like turning off your phone and turning it back?
A,Problem Investigation,Positive,When was the last time that you were able to make a phone call?
A,Problem Investigation,Positive,"Okay, is this happening to all of the phone numbers that you're trying to call in?"
A,Problem Investigation,Positive,Is this happening in all locations or just one specific location?
A,Engagement,Positive,"Okay, I know this must be so difficult for you since I know that you need to talk to your family and friends and I thank you for providing me all the necessary information that I need so I can start troubleshooting your phone."
A,Problem Investigation,Positive,"So right now, can you tell me if your wi-fi is on or off?"
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,What about your airplane mode?
A,Problem Investigation,Positive,Is it on or off?
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,What about your mobile data?
A,Engagement,Positive,"Great, thank you for checking those for me."
A,Account Verification,Positive,"Now, can you please confirm your ICC ID number or your sim card number?"
A,Problem Resolution,Positive,You can try to check it on the original box of the phone or your phone settings.
A,Engagement,Positive,Thank you.
A,Engagement,Positive,Thank you so much.
A,Problem Investigation,Positive,It's the same one and also let me check the coverage in your area.
A,Problem Investigation,Positive,Are you in Lancaster PA right now?
A,Problem Investigation,Positive,What's your zip code?
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"Okay, Alright, as I checked, we don't have any problems with the coverage in your area."
A,Problem Investigation,Positive,It's 4G and no current outages too.
A,Problem Resolution,Positive,"So, with that being said, let me proceed with the next part of our troubleshooting steps and this time, I will be needing your partnership."
A,Problem Resolution,Positive,Can you please go to your phone settings?
A,Problem Resolution,Positive,"From your home screen, try to look for a gear icon and below the icon, you'll see the word settings."
A,Engagement,Positive,Awesome.
A,Problem Resolution,Positive,"Now, look for general management."
A,Problem Resolution,Positive,"Alright, so, tap reset."
A,Problem Resolution,Positive,"So, before you tap reset network settings, I just want to let you know that this will erase saved wi-fi passwords and bluetooth connections but it won't delete any of your apps or personal data."
A,Problem Resolution,Positive,Are you okay to proceed?
A,Problem Resolution,Positive,"Now, you'll have to confirm that you want to reset your network settings."
A,Problem Resolution,Positive,"Great, this time we're almost done with our initial troubleshooting steps and the last thing that I want you to do is to power recycle your phone."
A,Problem Resolution,Positive,"So, turn it off and wait 10 seconds, power it on then we'll test it."
A,Engagement,Positive,Okay?
A,Problem Resolution,Positive,Let me call you on your alternate number.
A,Problem Resolution,Positive,"So, don't hang up with this line and listen until you reach me on the other line, okay?"
A,Greetings,Positive,Hello Amanda.
A,Problem Resolution,Positive,"Okay, so you can now disconnect the other line and uh turn off that device and wait 10 seconds before you turn it back on."
A,Problem Resolution,Positive,"Then, let me know once it's on, okay?"
A,Problem Resolution,Positive,"So, it's now time for us to test it alright."
A,Problem Resolution,Positive,"So, can you try to call your son now?"
A,Engagement,Positive,"Okay, so, it worked."
A,Engagement,Positive,"You're most welcome, ma'am."
A,Closure,Positive,I am so happy for you and thank you for partnering with me today.
A,Closure,Positive,I hope I was able to make you smile and I'm praying for your fast recovery.
A,Closure,Positive,And is there anything else that I can further assist you with today?
A,Closure,Positive,You're most welcome again.
A,Closure,Positive,This is Jeline.
A,Closure,Positive,Enjoy the rest of the day.
A,Closure,Positive,Thank you for being the best part of Verizon.
A,Closure,Positive,Bye for now.
A,Greetings,Positive,Thank you for calling technical support.
A,Greetings,Positive,My name is Harold.
A,Greetings,Positive,How can I help you?
A,Engagement,Positive,I'm sorry to hear that your printer is not working.
A,Problem Investigation,Positive,Let me go and check what's the problem and let's fix it together.
A,Account Verification,Positive,"Before we start, may I please have your name and best callback number in case a call got disconnected?"
A,Engagement,Positive,Thank you.
A,Account Verification,Positive,May I also have the model of your printer?
A,Account Verification,Positive,It's located in front of your printer at the lower right side.
A,Problem Investigation,Positive,"Thank you and just to clarify when you said that the printer is not working, do you mean it's not turning on or do you see any error message or you can't print from your computer?"
A,Problem Investigation,Positive,"Alright, do you have a windows computer or a mac?"
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,It's uh connected wirelessly or usb cable?
A,Engagement,Positive,Thank you.
A,Problem Investigation,Positive,"To make sure that this is not a printer problem, we will try to do a copy test."
A,Problem Investigation,Positive,"So, you have to photocopy any documents and make sure it's coloured and if output is perfect that means that the printer is good. "
A,Problem Investigation,Positive,That means there's no problem on your printer. 
A,Problem Resolution,Positive,We will now proceed in checking your connection.
A,Problem Resolution,Positive,"First, let's reboot your modem."
A,Problem Resolution,Positive,It's an upright standing box given by your internet provider.
A,Problem Resolution,Positive,It has a blinking green light on it.
A,Problem Resolution,Positive,"Yes, please go to your modem and at the back there's a tiny black cable that looks like an old cell phone charger."
A,Problem Resolution,Positive,"Great, please unplug it from the modem."
A,Problem Resolution,Positive,"Awesome, now, all the lights will go out."
A,Problem Resolution,Positive,"After 30 seconds, please plug it back, okay?"
A,Problem Resolution,Positive,Now we have to wait two minutes for it to boot up. 
A,Problem Resolution,Positive,"Once you see at least four green lights, please let me know."
A,Problem Resolution,Positive,Can you please try printing?
A,Problem Resolution,Positive,Let's check if your printer is connected to the same network as your computer.
A,Problem Resolution,Positive,Please go to your printer and press the menu button.
A,Problem Resolution,Positive,"On the menu, please click the right arrow button to navigate and look for the setup."
A,Problem Resolution,Positive,It has a wrench icon with screwdriver.
A,Problem Resolution,Positive,"You have to highlight it, then press enter."
A,Problem Resolution,Positive,"Under the setup, please click the down arrow button and select wi-fi setup."
A,Problem Resolution,Positive,"Then, press enter."
A,Problem Resolution,Positive,"Under WIFI setup, do you see the name of your WIFI?"
A,Problem Resolution,Positive,Select it please.
A,Problem Resolution,Positive,Now it will ask you to type the password or it will say connected if you are connected.
A,Problem Resolution,Positive,I see you have to highlight the box where you need to type in the password and press enter.
A,Problem Resolution,Positive,It will give you a keyboard and you have to use the arrow buttons to select a letter and press enter to input the selected letter.
A,Problem Resolution,Positive,"Awesome, just remember that it is case sensitive. "
A,Problem Resolution,Positive,"So, you have to put the right password on it."
A,Problem Resolution,Positive,That's great all the document that's on the queue will be printed now.
A,Engagement,Positive,You're welcome.
A,Closure,Positive,Is there anything else that I can help you with for today Mike?
A,Closure,Positive,Thank you.
A,Closure,Positive,Just a quick recap you called it today because you can't print from your computer.
A,Closure,Positive,We tested the printer and it's working fine we found out that your printer is not connected to your wi-fi so we reconnected it and now it's printing perfectly.
A,Closure,Positive,"If ever this happened again try, to turn on and off your modem first and check then follow the steps we did earlier to fix the printer again."
A,Closure,Positive,This is Harold and thank you for calling tech support.
A,Closure,Positive,You have a wonderful day.
A,Greetings,Positive,Hi.
A,Greetings,Positive,Thank you for calling technical support department.
A,Greetings,Positive,My name is Sunshine.
A,Account Verification,Positive,Can I have your first and last name please?
A,Account Verification,Positive,"Thank you Brian and for me to pull up your account, can I also have your account number?"
A,Engagement,Positive,Thank you so much.
A,Greetings,Positive,"Now, can you tell me how can I assist you today?"
A,Problem Investigation,Positive,"Okay, I understand that you need assistance on how to clear the browsing history on your browser and I know that this is very important for you to be addressed."
A,Problem Investigation,Positive,So let me go ahead and assist you now on how we can clear the browsing history.
A,Problem Investigation,Positive,Okay but I need to understand what browser browser are you using on your computer.
A,Problem Investigation,Positive,Is the browser that you're using Internet Explorer or Google Chrome?
A,Problem Investigation,Positive,"Internet Explorer actually looks like a blue letter e icon and about Google Chrome it's a round icon away the red, green and yellow colours inside."
A,Problem Investigation,Positive,That's the one you're using.
A,Problem Investigation,Positive,"So, for us to get started in troubleshooting your browser, please make sure that your Google Chrome or browser is open now on your computer."
A,Problem Resolution,Positive,"Alright, once it's open, you should be seeing a three dots on the upper right corner."
A,Problem Resolution,Positive,"Once you click on it, there will be options available but we select the one that says settings."
A,Engagement,Positive,"Okay, good job."
A,Problem Resolution,Positive,"Now, after clicking on settings on the left side, you should be seeing there an option that says clear browsing data or clear browsing history."
A,Problem Resolution,Positive,It says clear browsing history.
A,Problem Resolution,Positive,Okay you can click that one now.
A,Problem Resolution,Positive,"Actually, it will give you the options to clear the history that was recorded just for today or you can also clear all the browsing history like from the beginning of the time."
A,Engagement,Positive,"Alright, so while it's still loading right now, how are you doing today?"
A,Engagement,Positive,Thank you so much for asking.
A,Problem Investigation,Positive,"Okay so now that it's done, would you like us to test the resolution?"
A,Problem Investigation,Positive,"Let's see if you can, if you will be able to pull up the websites now with no problem at all."
A,Problem Investigation,Positive,Is it working now?
A,Engagement,Positive,"Alright, congratulations."
A,Closure,Positive,So is there anything else Brian that I can possibly assist with today?
A,Closure,Positive,"Oh, you're welcome."
A,Closure,Positive,Thank you so much as well for calling again technical support department.
A,Closure,Positive,My name is Sunshine.
A,Closure,Positive,You have a wonderful day.
A,Greetings,Positive,"Hi, thank you for calling Mary hotel."
A,Greetings,Positive,This is Anna.
A,Greetings,Positive,How may I help you?
A,Problem Investigation,Positive,We have several rooms available for that particular weekend and what is the exact date of your arrival?
A,Problem Investigation,Positive,How long will you be staying?
A,Problem Investigation,Positive,"And, how many people in the reservation? "
A,Problem Investigation,Positive,"And, what kind of room you like?"
A,Problem Investigation,Positive,Do you like a twin bed or a double bed?
A,Problem Investigation,Positive,"Great, and, would you prefer to have a room with a view of the ocean? "
A,Problem Investigation,Positive,The rate of that room is 590 dollars per night.
A,Account Verification,Positive,Okay and now what name would you prefer to be listed on the reservation?
A,Account Verification,Positive,Can you spell outyour name for me please?
A,Engagement,Positive,Thank you so much and let me fill out the form for you.
A,Account Verification,Positive,"And, what is your best callback number?"
A,Account Verification,Positive,May I have your email address where I can send your reservation number?
A,Problem Resolution,Positive,Thank you and now I just need your credit card number to complete the reservation.
A,Problem Resolution,Positive,"And, what type of card will you be using today?"
A,Problem Resolution,Positive,"Okay and if you're ready, please state the card number."
A,Problem Resolution,Positive,"And, what is the name appearing on the card?"
A,Problem Resolution,Positive,And may I have the expiration date?
A,Problem Resolution,Positive,Can I also have the last three digits at the back of the card?
A,Problem Resolution,Positive,Let me check the terms and condition for you.
A,Problem Resolution,Positive,One moment please.
A,Problem Resolution,Positive,"Welcome and upon checking here, the room that we're trying to book is a refundable room at any time."
A,Problem Resolution,Positive,So you can cancel your room anytime at no cost.
A,Problem Resolution,Positive,"Alright, so your reservation has been made for the 18th of July for a room with a double bed and view of the ocean."
A,Problem Resolution,Positive,Check-in is a two o'clock.
A,Problem Resolution,Positive,Breakfast and dinner is included as well.
A,Problem Resolution,Positive,"And, Roxanne, I will send the details to your email address that you provided to me earlier."
A,Closure,Positive,"So, that includes the reservation number and if you have questions, please do not hesitate to call us back, okay?"
A,Closure,Positive,"Okay and, is there anything else that I can assist you with Roxanne?"
A,Closure,Positive,"Okay, goodbye."
A,Closure,Positive,They're very much welcome and thank you as well for choosing Mary Hotel.
A,Closure,Positive,You have a great day.
A,Closure,Positive,"Okay, goodbye for now."
A,Greetings,Positive,Good Morning.
A,Greetings,Positive,Escala Tagaytay hotel reservation.
A,Greetings,Positive,This is Sydney speaking.
A,Greetings,Positive,How can I help you?
A,Account Verification,Positive,"Before I proceed to the reservation process, may I know who is on the line?"
A,Account Verification,Positive,Could you spell your first name for me please?
A,Engagement,Positive,Thank you for that information Ms. Hernani.
A,Problem Investigation,Positive,May I know which date you would like to make your reservation?
A,Problem Investigation,Positive,"Yes, we have several rooms available for those particular days."
A,Problem Investigation,Positive,May I know what type of room is Ms. Hernani you would like to stay?
A,Problem Investigation,Positive,I'm sorry to inform you Ms. Hernani but all our premier rooms have been booked on the 25th of April.
A,Problem Resolution,Positive,How about a deluxe room instead?
A,Problem Resolution,Positive,We can transfer you once there's availability.
A,Problem Resolution,Positive,Perhaps you didn't know that you have new room rates.
A,Engagement,Positive,Do you find that acceptable Ms. Hernani?
A,Problem Resolution,Positive,"For a deluxe room, we have it at 6405 pesos Ms. Hernani per room per night."
A,Problem Investigation,Positive,"Now, as for the room Ms. Hernani, do you prefer smoking or non-smoking?"
A,Problem Investigation,Positive,Now is a queen-size bed okay?
A,Problem Investigation,Positive,Would you prefer to have a room with a view of Taal Lake?
A,Problem Resolution,Positive,"Great, would you like to confirm your reservation Ms. Hernani?"
A,Account Verification,Positive,Can I have the name of the persons who will be staying Ms. Hernani?
A,Engagement,Positive,Ok one more second Ms. Hernani.
A,Problem Resolution,Positive,Your reservation is now verified.
A,Account Verification,Positive,So all I need to know is your phone number.
A,Problem Investigation,Positive,Okay Ms. Hernani. How will the bill be settled?
A,Problem Resolution,Positive,Yes Ms. Hernani.
A,Problem Resolution,Positive,"Now, I'll need your credit card information to reserve the room for you."
A,Problem Investigation,Positive,What type of card is it?
A,Problem Investigation,Positive,"And, what is the name of the cardholder?"
A,Problem Resolution,Positive,"Alright Ms. Hernani, your reservation has been made for the 25th until the 27th of April for a deluxe room with a queen-size bed and of course with a view of the lake."
A,Problem Resolution,Positive,Your bills will be settled via visa amounting to 12800 pesos.
A,Problem Resolution,Positive,Check-in is at two o'clock.
A,Problem Resolution,Positive,Is that correct Ms. Hernani?
A,Problem Resolution,Positive,We wish to inform you about our 6 o'clock policy.
A,Problem Resolution,Positive,Please be advised that you have to check in not later than 6:00 p.m.
A,Problem Resolution,Positive,"Otherwise, the hotel reserves the right to give the room to the wait-listed clients."
A,Closure,Positive,"My pleasure, Is there anything I can do for you Ms. Hernani?"
A,Closure,Positive,Thank You Ms. Hernani for calling.
A,Closure,Positive,We'll see you in April.
A,Closure,Positive,Have a nice day.
A,Greetings,Positive,Thank you for calling Blue Cross of Blue Shield.
A,Greetings,Positive,This is joe speaking.
A,Greetings,Positive,How can I help you?
A,Problem Investigation,Positive,"Alright John, are you a patient of ours?"
A,Problem Investigation,Positive,"Great, who is your doctor? "
A,Problem Investigation,Positive,"Okay, so, you'll need to have your pharmacy facts over a prescription refill request."
A,Problem Investigation,Positive,Do you have a pen to write our fax number down?
A,Problem Resolution,Positive,"No problem, I'd be happy to take your info and schedule a return call. "
A,Problem Resolution,Positive,What's the best number to reach you out?
A,Problem Resolution,Positive,Got it and what would be the best time for you for a return call?
A,Account Verification,Positive,Sounds good and can I get your date of birth?
A,Account Verification,Positive,"Thanks, would you happen to know the prescription number?"
A,Account Verification,Positive,And the name of the pharmacy?
A,Account Verification,Positive,Okay and do you know their phone number?
A,Engagement,Positive,"Oh perfect, go ahead please."
A,Problem Investigation,Positive,And what is the name of the medication you're looking to get refilled?
A,Engagement,Positive,"Okay John, let me just confirm your information."
A,Problem Resolution,Positive,"Last name is Smith, S M I T H."
A,Problem Resolution,Positive,"The callback number is 206-555-1234, is that correct?"
A,Problem Resolution,Positive,Okay the office will follow up and give you a call back today after 2pm.
A,Closure,Positive,Is there anything else I can help you with today?
A,Closure,Positive,Thanks for calling and have a great day.
A,Closure,Positive,Bye.
A,Greetings,Positive,"Yes, this is customer support."
A,Greetings,Positive,How may I help you?
A,Engagement,Positive,"Oh, I am sorry to hear that."
A,Account Verification,Positive,Could you tell me your order number please?
A,Engagement,Positive,"Okay, just let me verify that this order number match with the product you placed."
A,Engagement,Positive,"Okay, thank you for waiting, Mr. Pandit."
A,Problem Investigation,Positive,"Now, could you tell me what the problem is?"
A,Problem Investigation,Positive,"Ok, sir, just to rule out this possibility, may I ask you if other devices are working properly in that outlet?"
A,Problem Investigation,Positive,"Well, could you please remove the battery and the reconnect it one more time?"
A,Problem Investigation,Positive,And I appreciate if you can connect it into another outlet.
A,Engagement,Positive,"Okay sir, I totally understand your situation and I would feel the same."
A,Engagement,Negative,"But, please. Calm down and stop yelling at me."
A,Engagement,Negative,"And let me tell you what I could do for you, ok?"
A,Problem Resolution,Positive,We usually send our products with an extra cable.
A,Problem Resolution,Positive,Could you take a look inside the box ad verify if we sent you another?
A,Engagement,Positive,"Oh, sorry sir, my mistake."
A,Problem Resolution,Positive,"According to my system, the extra cable was not included."
A,Problem Resolution,Positive,"I am sorry sir, but this specific item was at a discount at the moment you purchased it."
A,Problem Resolution,Positive,"As a result, we didn't include an extra cable so that we could apply the best price on the device instead of charging you for stuffs you won't need."
A,Problem Resolution,Positive,"If you want, you can order one from us."
A,Problem Resolution,Positive,We'll ship it within 24 hours.
A,Engagement,Positive,Sorry to hear that sir.
A,Closure,Positive,I will discuss your feedback with my supervisor.
A,Closure,Positive,"Have a nice day, sir."
A,Greetings,Positive,"Hello, Good Morning."
A,Greetings,Positive,Thank you for calling PLDC customer service.
A,Greetings,Positive,This is Christine speaking.
A,Greetings,Positive,How may I help you?
A,Engagement,Positive,I appreciate that you bring this to out attention sir And sorry for the inconvenience sir.
A,Problem Investigation,Positive,"I understand that it is very frustrating and to work out on your problem about the abrupt disconnection, is that right sir?"
A,Account Verification,Positive,"But first, give me your account number sir."
A,Account Verification,Positive,"Okay sir, I got it and for verification you will need your name and your birthday"
A,Problem Investigation,Positive,"Thank you, just a minute sir,  I'll just look at our data."
A,Problem Investigation,Positive,"According to our system's data, that you did pay your last bill, last February 5 which was 2 days ago in one of our affiliated payment centers."
A,Problem Investigation,Positive,"Unfortunately sir, when you pay through that affiliated center, it takes about three to five business days more to complete the payment processing so that means that the system conceded the payment as still pending and not completed yet."
A,Problem Investigation,Positive,"So, the connection has been cut off. But."
A,Engagement,Positive,I understand that your situation is very tough right now.
A,Problem Resolution,Positive,"Since you did pay for your connection, what I can do is to open a ticket or submit a report so that the other department can immediately complete your payment and reconnect your internet as soon as possible. "
A,Account Verification,Positive,"And to make it possible sir, I just need your payment ID."
A,Engagement,Positive,"Yes sir, thank you."
A,Problem Resolution,Positive,I am now doing the report and will submit it as soon as I finish this.
A,Engagement,Positive,Please stay online for a minute Mr. Sobremonte.
A,Problem Resolution,Positive,"Hello sir, kindly expect to have your reconnection within 24 hours."
A,Problem Resolution,Positive,We will send you a text message informing that you have already paid and connected to the internet service to your phone number.
A,Engagement,Positive,"Again sir, I'm terribly sorry."
A,Closure,Positive,Is there anything else I can help you with sir?
A,Closure,Positive,"If none, thanks for calling and don't hesitate to call again if ever you'll have a problem with your connection."
A,Closure,Positive,Have a great day sir.
A,Closure,Positive,Bye.
A,Greetings,Positive,hi thank you for calling. im hannah how may i help you?
A,Engagement,Positive,sorry for the inconvenience ma'am let me help you instruct your account. 
A,Account Verification,Positive,may i have your account number?
A,Account Verification,Positive,thank you for verification process can i have your name and date of birth please?
A,Engagement,Positive,thank you so much for that information extent. 
A,Problem Investigation,Positive,and here in our system you did paid before which was 2 days ago but our affiliated beam in centers and you currently have a zero balance. however the bill you receive was granted a week ago before you made the payement that's why your latest payement has not been reflected. but you can simply disregard the amount indicate in the bill and continue enjoying our services.
A,Engagement,Positive,you are very welcome roxanne and the delay in the village usually caused by a delay in our system so you can visit our website and login to your account and this bill is more updated and more convenient.
A,Closure,Positive,im glad to help you and will there be anything that i can assist you today?
A,Closure,Positive,thank you so much for calling good by ma'am.
A,Greetings,Positive,thank you for calling ava's flower! this is jeline. how can i help you?
A,Engagement,Positive,absolutely! i'm positive that we have what you are looking for so let me take your order.
A,Problem Investigation,Positive,what products are you interested in ordering?
A,Problem Investigation,Positive,one dozen of white roses do you want long stems?
A,Problem Resolution,Positive,alright! so you order is: one dozen of white roses 40$ and a pack of fran's chocolate that's $9... a total of $49 free shipping and handling...
A,Engagement,Positive,are you good with these?
A,Account Verification,Positive,awesome! let me have your first and last name 
A,Account Verification,Positive,thank you! may i have your home or office number area code first?
A,Problem Resolution,Positive,thank you. your order has been successfully processed for a total amount of $49 and it will be shippes within 24 hours.
A,Closure,Positive,is there anything else that i can further assist you with today?
A,Closure,good,your most welcome. again. thank you so much for calling ava's flower! have a great day.
A,Greetings,Positive,hi thank you for calling my name is anna how can i assist you today
A,Engagement,Positive,ok definitely we can definitely go ahead and assisst you with that unlock today. 
A,Account Verification,Positive,can i have your mobile number please?
A,Account Verification,Positive,ok it's not coming up like that. can i have your last name please?
A,Problem Investigation,Positive,and what kind of phone is it because i see you have 2 accounts here i don't know which one it is
A,Problem Investigation,Positive,do you have the imei number for that?
A,Problem Investigation,Positive,ok it says here that the phone is unlocked.
A,Engagement,Positive,there is no email that i can send you but here you said that it's unlocked and it has been unlocked same.
A,Problem Resolution,Positive, so give me one moment to see if there is any paper i can provide you. can i have a call back number for you.
A,Problem Resolution,Positive,ok give me one second. ok it takes up to 30 minutes to get the email.
A,Closure,Positive,your welcome
A,Greetings,Positive,thank you for calling ABC customer care my name is harold. who do i have the pleasure of speaking with today?
A,Engagement,Positive,can i call you by your first name?
A,Problem Investigation,Positive,great! how can i help you today john?
A,Problem Investigation,Positive,i hear you! i undrestand that the bill went up suddenly lets check that and see what really happend on your account.
A,Account Verification,Positive,may i please have your account number and password?
A,Problem Resolution,Positive,thank you let me check your bill now i see your bill went up this month it's becasue of a late payment charge we received your payment on the 28th however your due date is every 15th of the month that's why there's a $10 difference from your last bill
A,Problem Resolution,Positive,i'll be happy to assist you. alright! i have successfully enrolled your account in autopay moving forward you won't have any late paument charge.
A,Closure,Positive,is there else that i can help you with?
A,Closure,Positive,you are welcome john thank you for calling ABC customer care. goodbye
A,Greetings,bad,good morning may i help you?
A,Problem Investigation,Positive,we'd be happy to sign you up. let me see now that's the wire walker service right?
A,Engagement,Positive,we've had others tell us the same thing we are in the process of adding some telephone lines now so it shouldn't be a problem in the future
A,Problem Resolution,Positive,now lets see your promotion you're referring to ended 2 weeks ago i can still sign you up and only at the regular rate which is about 10% more per month than the rate shown on the brochure will there be something at your house to make
A,Engagement,Positive,sorry ma'am but the offer has expired 
A,Problem Resolution,Positive,definitely you're right i'll go ahead and give you the service at the advertised rate.
A,Closure,Positive,thanks for calling have a great day.
A,Greetings,Positive,thank you fpr calling AT&T about your wireless service my name is brittany davis and i can help you. who do have the pleasure to speaking with.
A,Engagement,Positive,no problem i definitely undrestand it's concern regarding your bill and i'll definitely be more than happy to pull up your account  and we can take a look at that charge for you today. 
A,Account Verification,Positive,ok now so i can access the account menu verifies the last four digits of your social number
A,Problem Resolution,Positive,wonderful and i'm pulling up your account now while i'm in the process of doing that can you go ahead and palce me on the speakerphone and log into your my AT&T app so that we can definitely go ahead and look at these charges together and you know reveal ok?
A,Problem Investigation,Positive,alright wonderful and just let me know what you have your AT&T app for
A,Problem Resolution,Positive,okay great now as you see the option that says view bill go ahead and click on download view full pdf app
A,Account Verification,Positive,so i see on the line that ends in 24956 it has the $40 upgrate do you want it?
A,Engagement,Positive,ok so mrs.clarl i'm glad to have your pulled up pretty much to go ahead and explain the $40 upgrate fee AT&T does allow our customers to upgrate to the new two-year contract and it doesn't apply a one-tiem $40 upgrate fee on which it sells.
A,Closure,Positive,and now i undrestand you do undrestand that fee but i just want to make sure that there was no additional questions or concerns regarding the account devise or any other agency mobility services that i could give to resolve for youn today
A,Closure,Positive,well once again my name brittany davis and thank you for being a value i phone customer and you have great day
A,Greetings,Positive,thank you calling for limited and john is speaking
A,Engagement,Positive,i'm afraid to tell you ma'am but there was a serious conflict with a shippment of the goods yesterday due to the typhoon
A,Engagement,Positive,i apologize for the inconvenience ma'am i would probably feel the same way if i'm in your situation but i'm rest assured that all your concerns will be heard and not be taken for granted 
A,Account Verification,Positive,for us to begin with may i have your account number please
A,Account Verification,Positive,just to confirm that's 0123456789
A,Account Verification,Positive,now for verification purposes may i have your name and date of birth please
A,Engagement,Positive,thank you for that information miss cassandra please bear with me we'll pull up your account in the system
A,Problem Investigation,Positive,i can see here that you did a payment of 10000 bases last february 19th and that was three days ago were credit card and it seems like your problem needs a premission authorized by my supervisor will you be able to hold the call for a minute ma'am
A,Engagement,Positive,thank you for patiently waiting i'm afraid to tell you ma'am but the delivery will not be delivered to you anymore
A,Problem Resolution,Positive,serious apology ma'am however there is a good news the company will refund your payment one of the company's policies to give a refund for the customers whose orders have not been deliverd or shipped 
A,Problem Resolution,Positive,the process will proceed in your account 20 minute right after this conversation
A,Problem Resolution,Positive,no worries ma'am the second good news is there will be a 25% increase of the amount rendered meaning to say your amount will increase to a quarter
A,Closure,Positive,will there be anything else i van assist you with
A,Closure,Positive,so thank you for calling finish limited enjoy your weekdays bye
A,Greetings,Positive,hello my name is angela and i will take care of you may i have your name please
A,Problem Investigation,Positive,i understand you said you are getting an unkown error correct?
A,Problem Investigation,Positive,what kind of error
A,Problem Resolution,Positive,data error this is a sophisticated program and a data error can be tricky for anyone im going to connect you to a specialist this issue for  you i'll stay with you until you are connected does that work for you
A,Closure,Positive,ok great thanks for calling us good bye
A,Greetings,Positive,thank you for calling hiponary tech support this is john how could i help today?
A,Engagement,Positive,uh ok sir as a technician i could definitely help you out with that right away
A,Account Verification,Positive,but before we move on may i have your full name and your eight digit subscriber number please
A,Engagement,Positive,ok sir thanks let's see what we can do with your router what seems to be the problem sir?
A,Engagement,Positive,well thats a good question sir a router basically forwards data packets between computer networks
A,Problem Investigation,Positive,ok let me see here on my system to understand what is your problem uh sir this is weird it says here that you have a hiporonary ccp router and it doesn't really require a configuration process to install have you recently update it's software?
A,Problem Resolution,Positive,ok lets try something new ok there is a blue hiporonary icon shown on the task bar please click on it
A,Account Verification,Positive,ok now could you kindly tell me your router's product number please?
A,Account Verification,Positive,ok let me verify it on my system and i'll try to set it up remotely
A,Problem Resolution,Positive,i can see here that is shows successful connection
A,Closure,Positive,you are welcome sir have a nice day 
A,Greetings,Positive,thank you for calling hipronary tech support this is john how could i be of help you today
A,Engagement,Positive,ok please let me know what can i do for you
A,Engagement,Positive,i'm pretty sure we'll be able to resolve this matter once and for all
A,Problem Investigation,Positive,ok did you try by rebooting the router
A,Problem Resolution,Positive,ok now please type this URL address in your browser http://hiporonaryrouter.local
A,Problem Resolution,Positive,now click advanced setting
A,Problem Resolution,Positive,now click wifi channel box and select auto channel and click save
A,Problem Resolution,Positive,now let's check it if you have a internet connection or not
A,Closure,Positive,your welcome mr.springer have a nice day.
A,Greetings,Positive,thank you for calling technical support my name is harold how can i help you
A,Engagement,Positive,i'm sorry to hear that your printer is not working let me go and check what's the problem and let us  fix it together
A,Account Verification,Positive,before we start may i please have your name and your best call back number incase the call got disconnected
A,Account Verification,Positive,thank you may i also have the model of your printer? it's located in front of your printer at the lower right
A,Problem Investigation,Positive,thank you and just to clarify when you said the printer is not working do you mean it's not turning on?do you see any error message or you can't print from your computer
