Category,Text,Empathy and Understanding,Advice and Further Information,Instructions
Problem Resolution,"As of the date today",0,0,0
Problem Resolution,"Madam",0,0,0
Problem Resolution,": You might have already checked on it. But",0,0,0
Problem Resolution,"alright we havebupdated our software last week to remove the bugs that are solving this system now all we need to do is to update app on your phone so just open your App Store and look for the updates button on the lower right part of the Apple stores home screen please click the Update button",0,1,1
Problem Resolution,"oh great open the app and then try to book the place again",0,1,0
Problem Resolution,"okay Randall we are ordering one dozen long-stemmed red roses to toll them out of your orders $40 and it will be shipped to your address within 24 hours",0,1,0
Problem Resolution,"first I need you to unpair your device with your phone",0,0,1
Problem Resolution,"now please switch off your phone then turn it on again after around 5 seconds switch it off and on",0,0,1
Problem Resolution,"ok please pair it with your phone now",0,0,1
Problem Resolution,"ok i'm going to get a hold of randy and have him return your call",0,1,1
Problem Resolution,"you still have 10000 dollars",0,0,0
Problem Resolution,"Thank you for your patience the issue has been resolved and you should see the update soon",1,1,0
Problem Resolution,"We are unable to issue a refund due to the terms of service",1,0,0
Problem Resolution,"Unfortunately this payment issue cannot be adjusted as it was processed correctly",1,0,0
Problem Resolution,"Unfortunately this fee cannot be reversed based on our guidelines",1,0,0
Problem Resolution,"The issue has been resolved and the charges have been reversed",1,1,0
Problem Resolution,"Due to company policy we cannot issue a refund for this particular fee",1,0,0
"Problem Resolution","It appears the fee is correct and there’s nothing I can do to change it",0,0,0
"Problem Resolution","Your concern has been forwarded to the management team and they will follow up shortly",1,1,0
"Problem Resolution","Our policy does not allow for exceptions regarding this specific charge",0,1,0
"Problem Resolution","Your refund request has been approved and you will receive it shortly",1,1,0
"Problem Resolution","Unfortunately the system does not allow us to alter these charges",0,1,0
"Problem Resolution","The charge is accurate according to our records and I can’t reverse them",0,1,0
"Problem Resolution","We’ve successfully credited the amount back to your account",1,1,0
"Problem Resolution","Unfortunately this issue is outside of our ability to change at the moment",0,1,0
"Problem Resolution","We’re unable to waive the fees at this time based on your account history",0,1,0
"Problem Resolution","Your account has been updated and the changes should reflect soon",1,1,0
"Problem Resolution","Our hands are tied due to the terms in place we cannot reverse this charge",0,1,0
"Problem Resolution","We’ve issued a one-time credit for the late fee as a gesture of goodwill",1,1,0
"Problem Resolution","The charges have been applied according to the terms of service and we cannot remove them",0,1,0
"Problem Resolution","The issue has been successfully resolved and your account is up to date",1,1,0
"Problem Resolution","Unfortunately your request doesn’t meet the criteria for a refund",0,1,0
"Problem Resolution","Unfortunately the system doesn’t allow for exceptions on this matter",0,1,0
"Problem Resolution","Your refund has been processed and should appear in your account soon",1,1,0
"Problem Resolution","The charges are correct based on your payment history and I can’t reverse them",0,1,0
"Problem Resolution","We’ve waived the late fee for this time as a special exception",1,1,0
"Problem Resolution","The fees are applied according to our payment processing rules and cannot be reversed",0,1,0
"Problem Resolution","The system shows that the charges were applied correctly and I cannot change them",0,1,0
"Problem Resolution","We’ve adjusted the fee and you should see the updated balance shortly",1,1,0
"Problem Resolution","Unfortunately we can’t reverse the charge due to company policies",0,1,0
"Problem Resolution","Your issue has been resolved and the changes should now be visible on your account",1,1,0
"Problem Resolution","I'm afraid the system doesn’t allow for adjustments to this charge",0,1,0
"Problem Resolution","Your refund has been processed and you will receive it within the next 5–7 business days",1,1,0
"Problem Resolution","The charges were correctly applied and I can’t override them at this time",0,1,0
"Problem Resolution","I've processed your refund and you should see the amount reflected in your account shortly",1,1,0
"Problem Resolution","We cannot change the fee structure or make exceptions in this case",0,1,0
"Problem Resolution","I’ve escalated your case to senior management and they will review it further",1,1,0
"Problem Resolution","The fee is accurate according to our system’s guidelines and we cannot reverse it",0,1,0
"Problem Resolution","Unfortunately we cannot reverse this charge due to our company’s policy",0,1,0
"Problem Resolution","Your payment has been successfully processed and the issue has been resolved",1,1,0
"Problem Resolution","The charges cannot be waived as they are in line with our terms of service",0,1,0
"Problem Resolution","The system has been updated and you should see the changes reflected soon",1,1,0
"Problem Resolution","We are unable to make adjustments to your fees at this time",0,1,0
"Problem Resolution","We’ve applied a one-time adjustment to your account",1,1,0
"Problem Resolution","We cannot remove the charges as they were correctly applied according to our records",0,1,0
"Problem Resolution","Your request has been approved and your refund will be processed shortly",1,1,0
"Problem Resolution","Due to our policy we cannot alter the charges in your account",0,1,0
"Problem Resolution","Your concern has been reviewed and we’ve made the necessary updates to your account",1,1,0
"Problem Resolution","Unfortunately this is outside the scope of what we can address at this time",0,1,0
"Problem Resolution","The issue has been resolved and you’ll receive an update soon",1,1,0
"Problem Resolution","We are unable to process your request due to our internal procedures",0,1,0
"Problem Resolution","Your case has been reviewed and we’ve successfully updated your account",1,1,0
"Problem Resolution","I'm afraid we cannot proceed with your request as it does not meet the criteria for adjustment",0,1,0
"Problem Resolution","We’ve issued a refund and the amount should reflect in your account in the next few business days",1,1,0
"Problem Resolution","Unfortunately the issue cannot be resolved on our end due to the terms we operate under",0,1,0
"Problem Resolution","Thank you for your patience, the problem has now been resolved",1,1,0
"Problem Resolution","The charge was correctly applied and we can’t reverse it at this time",0,1,0
"Problem Resolution","Your account has been updated and you should see the changes shortly",0,0,0
"Problem Resolution","We cannot waive the fees based on your account history",0,0,0
"Problem Resolution","We’ve successfully processed the requested adjustment and your account is now up to date",0,0,0
"Problem Resolution","Our hands are tied by the system policies and we cannot make any exceptions",0,0,0
"Problem Resolution","Your account has been credited with the requested refund and you should see the update soon",0,0,0
"Problem Resolution","Unfortunately your request doesn’t qualify for an exception based on our policy",0,0,0
"Problem Resolution","We’ve forwarded your request for a refund and you will be updated once it is reviewed",0,1,0
"Problem Resolution","The fee is in accordance with our terms and cannot be waived or removed",0,0,0
"Problem Resolution","Your issue has been resolved and I’ve updated your account accordingly",0,0,0
"Problem Resolution","We are unable to make any changes to the fee at this time due to company guidelines",0,0,0
"Problem Resolution","Your concern has been forwarded to the management team for further review",0,1,0
"Problem Resolution","We cannot process your refund request as the charges are correct according to our records",0,0,0
"Problem Resolution","We’ve reviewed your case and the fee has been adjusted accordingly",0,1,0
"Problem Resolution","The system shows that the charge is valid and we cannot make any changes",0,0,0
"Problem Resolution","We’ve processed the refund and you should see the amount reflected in your account soon",0,0,0
"Problem Resolution","Our internal policy prevents us from waiving the fee at this time",0,0,0
"Problem Resolution","The issue has been resolved and you’ll see the changes within a few days",0,0,0
"Problem Resolution","Unfortunately we cannot override the charges based on your account history",0,0,0
"Problem Resolution","Your request has been processed and your refund will be issued shortly",0,0,0
"Problem Resolution","The charges were applied in line with our policy and cannot be reversed",0,0,0
"Problem Resolution","We’ve successfully processed your refund and the update should appear soon",0,0,0
"Problem Resolution","Unfortunately, due to policy restrictions, we cannot process your request",0,0,0
"Problem Resolution","Your request for a refund has been approved and will be credited soon",0,0,0
"Problem Resolution","We are unable to adjust your account balance at this time due to system constraints",0,0,0
"Problem Resolution","I'm sorry but we can't offer a refund as the transaction is beyond our refund window",1,0,0
"Problem Resolution","We’ve successfully credited your account with the requested refund",0,0,0
"Problem Resolution","The charge is valid and in accordance with our terms and conditions",0,0,0
"Problem Resolution","Your concern has been resolved and the issue has been addressed",0,0,0
"Problem Resolution","Unfortunately, our system cannot process your request due to the limitations of our policies",0,0,0
"Problem Resolution","We've successfully removed the extra charges from your account",0,0,0
"Problem Resolution","The fee you’re referring to has been correctly applied, and we cannot waive it",0,0,0
"Problem Resolution","Your request has been reviewed and your account has been updated",0,0,0
"Problem Resolution","We cannot reverse the charge due to company policy restrictions",0,0,0
"Problem Resolution","The issue has been resolved, and a credit has been applied to your account",0,0,0
"Problem Resolution","We are unable to refund the charges as they were applied as per the agreement",0,0,0
"Problem Resolution","I have processed your refund request, and the amount will reflect shortly",0,0,0
"Problem Resolution","We cannot make adjustments to your fee as it was accurately charged",0,0,0
"Problem Resolution","The refund request has been processed and your account should reflect the changes soon",0,0,0
"Problem Resolution","Unfortunately, the charges were correctly applied and cannot be modified",0,0,0
"Problem Resolution","The system has updated your account and the refund has been successfully issued",0,0,0
"Problem Resolution","We cannot reverse the charges as they are part of our non-refundable policy",0,0,0
"Problem Resolution","Your request for a fee waiver has been processed and a decision will be sent soon",0,1,0
"Problem Resolution","I'm afraid we can't remove the fees based on your account's history",0,0,0
"Problem Resolution","The issue has been reviewed and we’ve resolved it on our end",0,0,0
"Problem Resolution","Unfortunately, we cannot waive the fees due to our policies regarding payments",0,0,0
"Problem Resolution","We have applied a one-time adjustment and your account is now updated",0,0,0
"Problem Resolution","The charges are valid according to our system and cannot be reversed",0,0,0
"Problem Resolution","Your refund request has been successfully processed and should reflect in your account soon",0,0,0
"Problem Resolution","We cannot override the charges as per our system's guidelines",0,0,0
"Problem Resolution","The issue has been resolved and a credit has been applied to your account",0,0,0
Problem Resolution,"Unfortunately, we cannot waive the fees due to our internal policies",0,0,0
Problem Resolution,"Your case has been reviewed, and we've processed the necessary refund for you",1,1,0
Problem Resolution,"The charge cannot be reversed as it was accurately applied according to our system",0,1,0
Problem Resolution,"Your concern has been addressed and the refund has been processed successfully",1,1,0
Problem Resolution,"We cannot provide a refund as it doesn't meet the criteria of our policy",0,1,0
Problem Resolution,"The issue has been resolved and your request has been processed",0,1,0
Problem Resolution,"Unfortunately, your case is outside the scope of what we can resolve",0,0,0
Problem Resolution,"The charge has been adjusted and you will receive an update soon",1,1,0
Problem Resolution,"We cannot process your refund request as the charge is valid",0,1,0
Problem Resolution,"We’ve successfully removed the charges and your account is now up to date",1,1,0
Problem Resolution,"We cannot grant a refund based on your account's payment history",0,1,0
Problem Resolution,"Your request for a refund has been reviewed and processed successfully",1,1,0
Problem Resolution,"Unfortunately, the charges will remain as they were correctly applied",0,1,0
Problem Resolution,"Your issue has been addressed, and the refund will be reflected shortly",1,1,0
Problem Resolution,"We cannot adjust the fees due to company restrictions",0,0,0
Problem Resolution,"Your refund has been processed and you should see the update soon",1,1,0
Problem Resolution,"We are unable to provide a refund due to the nature of the charge",0,1,0
Problem Resolution,"We’ve made the necessary adjustments to your account and your refund will reflect soon",1,1,0
Problem Resolution,"The fee cannot be removed as it was correctly applied",0,1,0
Problem Resolution,"Your concern has been processed, and you should see the update soon",1,1,0
Problem Resolution,"Unfortunately, we cannot make adjustments to the charges at this time",0,0,0
Problem Resolution,"Your request has been reviewed, and the refund will be issued shortly",1,1,0
Problem Resolution,"The charges were correctly applied and we cannot reverse them",0,1,0
Problem Resolution,"Your case has been resolved and the refund will be credited to your account",1,1,0
Problem Resolution,"Unfortunately, we cannot waive the fees based on our internal policies",0,0,0
Problem Resolution,"We’ve processed your refund and your account has been updated",1,1,0
Problem Resolution,"We are unable to make any changes to the charges as they were accurately applied",0,1,0
Problem Resolution,"Your refund request has been approved and the funds will be returned shortly",1,1,0
Problem Resolution,"Unfortunately, we can't adjust the fees as per the current policy",0,0,0
Problem Resolution,"The charge has been removed from your account and you should see the adjustment shortly",1,1,0
Problem Resolution,"We are unable to reverse the charge due to our company policy",0,1,0
Problem Resolution,"We’ve processed your refund request and the money will be returned soon",1,1,0
Problem Resolution,"I'm afraid we can't honor your refund request due to the terms and conditions",0,1,0
Problem Resolution,"Your refund has been approved and is in process",1,1,0
Problem Resolution,"Unfortunately, we can't provide a refund for the purchase as it's outside of our window",0,1,0
Problem Resolution,"Your issue has been resolved and we have credited your account",1,1,0
Problem Resolution,"We are unable to waive the charge as it was applied correctly",0,1,0
Problem Resolution,"Your request has been processed and you’ll see the adjustment soon",1,1,0
Problem Resolution,"The fee is valid according to our policy and cannot be waived",0,1,0
Problem Resolution,"Your refund has been processed and should be visible in your account shortly",1,1,0
Problem Resolution,"We cannot offer a refund as the transaction was finalized",0,1,0
Problem Resolution,"The issue has been resolved, and the refund is now processing",1,1,0
Problem Resolution,"We cannot adjust your fee due to our refund policy restrictions",0,1,0
Problem Resolution,"The refund has been successfully processed and will reflect in your account soon",1,1,0
Problem Resolution,"Unfortunately, we can't reverse the charges based on your request",0,1,0
Problem Resolution,"The issue has been reviewed and your account has been updated",1,1,0
Problem Resolution,"We cannot honor the refund request because it’s outside the allowed period",0,1,0
Problem Resolution,"We have successfully issued your refund and it should reflect shortly",1,1,0
Problem Resolution,"The charges are correct and we cannot issue a refund",0,1,0
Problem Resolution,"We’ve processed your refund and you’ll see the credit soon",1,1,0
Problem Resolution,"We cannot grant a refund as the charges were valid and applied according to policy",0,1,0
Problem Resolution,"Your refund has been approved and will be credited to your account",1,1,0
Problem Resolution,"We are unable to adjust the fee as the charge is valid according to our system",0,1,0
Problem Resolution,"Your request has been processed and the refund is in progress",1,1,0
Problem Resolution,"The charges have been correctly applied and we cannot reverse them",0,1,0
Problem Resolution,"Your refund request has been successfully processed",1,1,0
Problem Resolution,"We cannot make any adjustments to the charges as they are correct",0,1,0
Problem Resolution,"The refund is being processed and will appear shortly",1,1,0
Problem Resolution,"We cannot reverse the charge based on your request as it meets the criteria for the fee",0,1,0
Problem Resolution,"The issue has been resolved and we have credited your account accordingly",1,1,0
Problem Resolution,"The charge cannot be refunded due to our company policy",0,1,0
Problem Resolution,"Your refund has been successfully issued and will appear shortly",1,1,0
Problem Resolution,"We are unable to reverse the charge at this time",0,1,0
Problem Resolution,"The refund has been processed and will reflect in your account soon",1,1,0
Problem Resolution,"Unfortunately, we cannot honor your refund request as it is outside the refund period",0,1,0
Problem Resolution,"Your refund request has been processed and the funds will be reflected soon",1,1,0
Problem Resolution,"We cannot remove the charge as it was correctly applied",0,1,0
Problem Resolution,"Your refund has been successfully issued and should be visible in your account soon",1,1,0
Problem Resolution,"The charge is valid and we cannot reverse the transaction",0,1,0
Problem Resolution,"Your refund has been processed and will reflect soon",1,1,0
Problem Resolution,"We are unable to process your refund as the charges are correct",0,1,0
Problem Resolution,"The refund request has been successfully processed and is in progress",1,1,0
Problem Resolution,"Unfortunately, we cannot remove the fee due to our policies",0,1,0
Problem Resolution,"We’ve processed your refund and you should see the amount soon",1,1,0
Problem Resolution,"We are unable to waive the charges as they are valid",0,1,0
Problem Resolution,"Your refund has been successfully processed and will be reflected in your account shortly",1,1,0
Problem Resolution,"We cannot reverse the charges as they are correct according to our system",0,1,0
Problem Resolution,"The issue has been resolved and we have credited your account accordingly",1,1,0
Problem Resolution,"Unfortunately, we cannot issue a refund for this charge as it meets the criteria",0,1,0
Problem Resolution,"The refund has been processed and your account should reflect the changes shortly",1,1,0
Problem Resolution,"We are unable to make any adjustments to your fees at this time",0,1,0
Problem Resolution,"Your refund has been successfully processed and will appear in your account soon",1,1,0
Problem Resolution,"Unfortunately, we cannot adjust the fee as it is in line with our policy",0,1,0
Problem Resolution,"Your request has been processed, and the refund will be reflected shortly",1,1,0
Problem Resolution,"We cannot remove the fee as it was correctly charged according to our guidelines",0,1,0
Problem Resolution,"The refund has been successfully processed and will appear shortly in your account",1,1,0
Problem Resolution,"Unfortunately, we are unable to make any adjustments to the charges at this time",0,1,0
Problem Resolution,"Your refund request has been approved and the amount will be credited to your account soon",1,1,0
Problem Resolution,"We cannot process your refund request as it falls outside the allowed timeframe",0,1,0
Problem Resolution,"We’ve successfully issued your refund and it should appear in your account shortly",1,1,0
Problem Resolution,"The charges are correct and we cannot offer a refund",0,1,0
Problem Resolution,"The issue has been resolved and we’ve processed your refund",1,1,0
Problem Resolution,"We are unable to honor your refund request because the charges are valid",0,1,0
Problem Resolution,"Your refund has been processed and will be reflected in your account shortly",1,1,0
Problem Resolution,"The fee was applied correctly and we cannot reverse it",0,1,0
Problem Resolution,"The refund has been successfully processed and should reflect soon",1,1,0
Problem Resolution,"We cannot waive the fee as it is in accordance with our policy",0,1,0
Problem Resolution,"The refund is in progress and should appear in your account soon",1,1,0
Problem Resolution,"Unfortunately, we are unable to provide a refund at this time",0,1,0
Problem Resolution,"The issue has been resolved and we have credited your account",1,1,0
Problem Resolution,"We cannot honor your refund request as the charge was correct",0,1,0
Problem Resolution,"Your request has been processed and the refund is in progress",1,1,0
Problem Resolution,"We cannot make adjustments to the charge as it was applied correctly",0,1,0
Problem Resolution,"Your refund request has been processed and will reflect soon",1,1,0
Problem Resolution,"We are unable to reverse the charge due to our refund policy",0,1,0
Problem Resolution,"Your refund has been approved and will be credited shortly",1,1,0
Problem Resolution,"We cannot adjust the fee as it is in line with our policies",0,1,0
Problem Resolution,"Your refund has been processed and should reflect in your account soon",1,1,0
Problem Resolution,"The charge is valid and we cannot make changes to it",0,1,0
Problem Resolution,"Your refund has been processed and you should see it soon",1,1,0
Problem Resolution,"We cannot reverse the charge as it is within the allowed terms",0,1,0
Problem Resolution,"Your refund is in progress and will be credited to your account soon",1,1,0
Problem Resolution,"Unfortunately, the fee cannot be removed as it is valid",0,1,0
Problem Resolution,"We’ve processed your refund and it will appear in your account soon",1,1,0
Problem Resolution,"We cannot adjust the charge as it meets the criteria for the fee",0,1,0
Problem Resolution,"Your refund has been successfully processed and should appear soon",1,1,0
Problem Resolution,"We cannot waive the charge as it is in accordance with our guidelines",0,1,0
Problem Resolution,"Your refund has been successfully processed and is now in progress",1,1,0
Problem Resolution,"Unfortunately, the charge cannot be reversed as it is valid",0,1,0
Problem Resolution,"The refund request has been successfully processed",1,1,0
Problem Resolution,"We cannot adjust the charge as it was correctly applied",0,1,0
Problem Resolution,"The refund has been processed and will appear in your account soon",1,1,0
Problem Resolution,"We are unable to offer a refund as the charge was applied correctly",0,1,0
Problem Resolution,"Your refund has been processed and should reflect soon",1,1,0
Problem Resolution,"Unfortunately, we cannot adjust the fee as it was correctly charged",0,1,0
Problem Resolution,"Your refund has been processed successfully and will reflect shortly",1,1,0
Problem Resolution,"The charge is correct and we are unable to offer a refund",0,1,0
Problem Resolution,"Your refund request has been approved and will be credited soon",1,1,0
Problem Resolution,"We are unable to reverse the charge as it was applied correctly",0,1,0
Problem Resolution,"The refund has been processed and should be visible in your account soon",1,1,0
Problem Resolution,"We cannot waive the charge as it complies with our policy",0,1,0
Problem Resolution,"Your refund request has been processed and will appear soon",1,1,0
Problem Resolution,"Unfortunately, we cannot offer a refund as the charge is valid",0,1,0
Problem Resolution,"Your refund has been successfully processed and will reflect shortly",1,1,0
Problem Resolution,"We cannot process your refund as the charge is valid",0,1,0
Problem Resolution,"The issue has been resolved, and your refund has been processed",1,1,0
Problem Resolution,"Unfortunately, we cannot make any adjustments to the charge",0,1,0
Problem Resolution,"The refund request has been processed and is now in progress",1,1,0
Problem Resolution,"We are unable to provide a refund as the fee is valid",0,1,0
Problem Resolution,"Your refund has been successfully issued and will reflect in your account shortly",1,1,0
Problem Resolution,"The charge is correct, and we cannot reverse the transaction",0,1,0
Problem Resolution,"Your refund has been processed and should reflect soon",1,1,0
Problem Resolution,"Unfortunately, we cannot adjust the fee as per your request",0,1,0
Problem Resolution,"The issue has been resolved and the refund has been issued",1,1,0
Problem Resolution,"We cannot reverse the charge due to our refund policy",0,1,0
Problem Resolution,"Your refund has been successfully processed and will appear soon",1,1,0
Problem Resolution,"We are unable to process your refund request as it falls outside the policy guidelines",0,1,0
Problem Resolution,"Your refund request has been reviewed and approved, and the amount will be credited soon",1,1,0
Problem Resolution,"Unfortunately, we cannot issue a refund as the charge is correct",0,1,0
Problem Resolution,"The refund has been successfully processed and will be visible in your account shortly",1,1,0
Problem Resolution,"We cannot make any adjustments as the charge is valid",0,1,0
Problem Resolution,"Your request has been processed and your refund will appear soon",1,1,0
Problem Resolution,"We cannot adjust the charge as it is within our terms and conditions",0,1,0
Problem Resolution,"Your refund is being processed and should be reflected in your account soon",1,1,0
Problem Resolution,"Unfortunately, we cannot honor your refund request as it does not meet our policy criteria",0,1,0
Problem Resolution,"Your refund request has been approved and the funds will be credited shortly",1,1,0
Problem Resolution,"We cannot waive the fee as it is part of our standard charges",0,1,0
Problem Resolution,"The refund has been successfully processed and will be credited to your account soon",1,1,0
Problem Resolution,"We cannot reverse the charge as it is valid under our guidelines",0,1,0
Problem Resolution,"The issue has been resolved, and the refund has been successfully processed",1,1,0
Problem Resolution,"We cannot make adjustments as the charge is accurate and follows our policies",0,1,0
Problem Resolution,"Your refund has been successfully processed and will appear soon",1,1,0
Problem Resolution,"The fee applied is correct and we cannot reverse it",0,1,0
Problem Resolution,"The refund has been processed and will be reflected in your account shortly",1,1,0
Problem Resolution,"We cannot process your refund request as it falls outside our eligible criteria",0,1,0
Problem Resolution,"Your refund request has been approved and should reflect soon",1,1,0
Problem Resolution,"Unfortunately, the charge is correct, and we cannot issue a refund",0,1,0
Problem Resolution,"The refund has been processed and will be reflected in your account soon",1,1,0
Problem Resolution,"We cannot adjust the fee as it is correctly applied",0,1,0
Problem Resolution,"Your refund request has been processed, and the refund will be credited soon",1,1,0
Problem Resolution,"We cannot make any adjustments to the fee as it is within our policy",0,1,0
Problem Resolution,"Your refund has been successfully processed and should reflect soon",1,1,0
Problem Resolution,"Unfortunately, we cannot honor your request due to our refund policy",0,1,0
Problem Resolution,"The issue has been resolved, and we’ve successfully processed your refund",1,1,0
Problem Resolution,"We cannot reverse the charge as it complies with our policy",0,1,0
Problem Resolution,"Your refund has been processed, and you will see the funds shortly",1,1,0
Problem Resolution,"We are unable to issue a refund as the charge is correct",0,1,0
Problem Resolution,"Your refund has been successfully processed and will reflect in your account soon",1,1,0
Problem Resolution,"Unfortunately, we cannot offer a refund at this time as the charge is valid",0,1,0
Problem Resolution,"The refund has been processed and should reflect soon",1,1,0
Problem Resolution,"We cannot reverse the charge due to policy restrictions",0,1,0
Problem Resolution,"Your refund has been successfully processed and should appear shortly",1,1,0
Problem Resolution,"We cannot make adjustments to the charge as it complies with our terms",0,1,0
Problem Resolution,"Your refund has been successfully processed and is in progress",1,1,0
Problem Resolution,"Unfortunately, the charge cannot be reversed as it was applied correctly",0,1,0
Problem Resolution,"Your refund request has been successfully processed and will appear shortly",1,1,0
Problem Resolution,"We cannot waive the fee as it is part of our standard policy",0,1,0
Problem Resolution,"Your refund has been successfully processed and will be visible in your account soon",1,1,0
Problem Resolution,"We cannot adjust the charge as it is valid under our policies",0,1,0
Problem Resolution,"The issue has been resolved, and your refund is in progress",1,1,0
Problem Resolution,"We cannot reverse the charge as it is in line with our guidelines",0,1,0
Problem Resolution,"Your refund has been processed and will be reflected soon",1,1,0
Problem Resolution,"Unfortunately, the charge is correct, and we cannot adjust it",0,1,0
Problem Resolution,"The refund has been successfully processed and will reflect in your account soon",1,1,0
Problem Resolution,"We cannot issue a refund as the charge is valid and accurate",0,1,0
Problem Resolution,"Your refund has been successfully processed and should reflect shortly",1,1,0
Problem Resolution,"We cannot honor your request as the charge is valid and correct",0,1,0
Problem Resolution,"Your refund has been processed and will be credited to your account soon",1,1,0
Problem Resolution,"We cannot waive the fee as it complies with our refund policy",0,1,0
Problem Resolution,"Your refund has been successfully processed and should be reflected soon",1,1,0
Problem Resolution,"We cannot make any adjustments to the charge at this time",0,1,0
Problem Resolution,"The refund has been processed, and it should appear in your account shortly",1,1,0
Problem Resolution,"We cannot approve your refund request as the charge is correct and follows our policy",0,1,0
Problem Resolution,"Your refund request has been approved and will reflect in your account shortly",1,1,0
Problem Resolution,"Unfortunately, we cannot reverse the charge as it adheres to our refund policy",0,1,0
Problem Resolution,"Your refund has been processed and will be visible in your account soon",1,1,0
Problem Resolution,"The charge is correct, and we cannot make any adjustments at this time",0,1,0
Problem Resolution,"Your refund request has been processed, and the funds will be credited soon",1,1,0
Problem Resolution,"We cannot honor the request as it doesn't meet our refund policy",0,1,0
Problem Resolution,"Your refund has been successfully processed and should be visible shortly",1,1,0
Problem Resolution,"The charge is valid, and we are unable to process a refund",0,1,0
Problem Resolution,"Your refund request has been successfully processed and will appear soon",1,1,0
Problem Resolution,"We cannot adjust the fee as it is in line with our policy",0,1,0
Problem Resolution,"Your refund has been processed and will be reflected in your account shortly",1,1,0
Problem Resolution,"Unfortunately, we cannot process your refund as the request doesn't meet the criteria",0,1,0
Problem Resolution,"Your refund has been processed successfully, and the funds should appear shortly",1,1,0
Problem Resolution,"The charge is valid, and we cannot reverse it at this time",0,1,0
Problem Resolution,"Your refund has been approved and is being processed now",1,1,0
Problem Resolution,"Unfortunately, the charge cannot be reversed as it is valid",0,1,0
Problem Resolution,"Your refund has been processed and should reflect in your account soon",1,1,0
Problem Resolution,"We are unable to process a refund as the charge is correct",0,1,0
Problem Resolution,"Your refund has been successfully processed and will be visible soon",1,1,0
Problem Resolution,"The charge is correct, and we cannot offer a refund at this time",0,1,0
Problem Resolution,"Your refund has been processed successfully and will appear in your account soon",1,1,0
Problem Resolution,"We cannot reverse the charge as it complies with our policies",0,1,0
Problem Resolution,"Your refund has been processed, and the funds should be credited soon",1,1,0
Problem Resolution,"We cannot issue a refund for this charge as it is in line with our policy",0,1,0
Problem Resolution,"Your refund request has been processed and will appear shortly",1,1,0
Problem Resolution,"The fee cannot be waived as it follows our policy guidelines",0,1,0
Problem Resolution,"Your refund has been processed, and you will see the amount reflected soon",1,1,0
Problem Resolution,"We cannot honor your request as it does not meet our criteria",0,1,0
Problem Resolution,"The issue has been resolved, and the refund has been successfully processed",1,1,0
Problem Resolution,"We cannot adjust the charge as it is correct and follows our terms",0,1,0
Problem Resolution,"Your refund request has been approved and will be credited shortly",1,1,0
Problem Resolution,"Unfortunately, the charge is correct, and we cannot offer a refund",0,1,0
Problem Resolution,"Your refund has been successfully processed and should appear in your account soon",1,1,0
Problem Resolution,"We cannot reverse the charge as it is correct and valid",0,1,0
Problem Resolution,"Your refund has been processed and should be visible soon",1,1,0
Problem Resolution,"Unfortunately, we cannot approve your refund request as it is outside our policy",0,1,0
Problem Resolution,"Your refund request has been approved and the funds will be credited soon",1,1,0
Problem Resolution,"We cannot reverse the charge due to our refund policy",0,1,0
Problem Resolution,"The refund has been successfully processed and will be reflected in your account soon",1,1,0
Problem Resolution,"We cannot adjust the fee as it is valid under our policy",0,1,0
Problem Resolution,"Your refund has been processed and will appear in your account soon",1,1,0
Problem Resolution,"Unfortunately, we cannot honor your refund request at this time",0,1,0
Problem Resolution,"Your refund request has been approved and will be credited shortly",1,1,0
Problem Resolution,"We cannot reverse the charge as it is valid under our guidelines",0,1,0
Problem Resolution,"Your refund has been successfully processed and will appear soon",1,1,0
Problem Resolution,"The charge is valid, and we cannot offer a refund at this time",0,1,0
Problem Resolution,"Your refund request has been processed and the funds will be credited soon",1,1,0
Problem Resolution,"Unfortunately, we cannot reverse the charge as it follows our refund policy",0,0,0
Problem Resolution,"Your refund has been successfully processed and should appear soon",0,0,0
Problem Resolution,"We cannot issue a refund as the charge is correct and within policy",0,0,0
Problem Resolution,"The refund has been successfully processed and will be reflected shortly",0,0,0
Problem Resolution,"We cannot waive the fee as it complies with our policy guidelines",0,0,0
Problem Resolution,"Your refund has been successfully processed and will be credited soon",0,0,0
Problem Resolution,"We cannot make any adjustments to the charge as it is correct",0,0,0
Problem Resolution,"Your refund has been processed and will appear in your account soon",0,0,0
Problem Resolution,"The fee is correct, and we cannot reverse it at this time",0,0,0
Problem Resolution,"Your refund has been successfully processed and should reflect in your account shortly",0,0,0
Problem Resolution,"Unfortunately, we cannot process your refund as the charge is valid",0,0,0
Problem Resolution,"Your refund has been processed and will be visible soon",0,0,0
Problem Resolution,"We cannot approve your refund request as it does not comply with our policy guidelines",0,0,0
Problem Resolution,"Your refund has been approved and will be reflected in your account soon",0,0,0
Problem Resolution,"Unfortunately, we cannot process your request as it does not meet the necessary criteria",0,0,0
Problem Resolution,"Your refund has been processed successfully, and you should see the funds soon",0,0,0
Problem Resolution,"The charge is correct, and we are unable to adjust it as per the policy",0,0,0
Problem Resolution,"Your refund has been processed, and it will be credited shortly",0,0,0
Problem Resolution,"We cannot reverse the charge as it aligns with our refund policy",0,0,0
Problem Resolution,"Your refund has been successfully processed, and the funds will appear soon",0,0,0
Problem Resolution,"Unfortunately, we cannot reverse the charge at this time",0,0,0
Problem Resolution,"Your refund has been processed successfully and will reflect soon",0,0,0
