Category,Text,Personal Information,Account and Transaction Details,Permission Words
Account Verification,"Can I have your full name to begin the verification process?",1,0,1
Account Verification,"Your full name is required to verify your identity.",1,0,0
Account Verification,"I need to confirm your contact number for our records.",1,0,0
Account Verification,"Please provide your date of birth to continue the verification process.",1,0,0
Account Verification,"The registered address on your account needs to be verified.",1,0,0
Account Verification,"Confirming the name associated with your account is necessary for validation.",1,0,0
Account Verification,"Your email address will be used for verification purposes.",1,0,0
Account Verification,"We need to check the phone number registered to your account.",1,0,0
Account Verification,"Please give us your date of birth to match our records.",1,0,0
Account Verification,"Your full name is needed to proceed with account verification.",1,0,0
Account Verification,"To verify your identity, I will need your address details.",1,0,0
Account Verification,"The email associated with your account needs to be confirmed.",1,0,0
Account Verification,"Your phone number needs to be checked for account security.",1,0,0
Account Verification,"The address on file with your account needs to be confirmed.",1,0,0
Account Verification,"Your date of birth is required to complete the verification.",1,0,0
Account Verification,"We need your full name for the purpose of verifying your account.",1,0,0
Account Verification,"The email address provided during sign-up must be validated.",1,0,0
Account Verification,"I need to confirm the phone number tied to your account for security.",1,0,0
Account Verification,"Your contact number is essential for the verification of your account.",1,0,0
Account Verification,"I need your full name to ensure we are matching the correct records.",1,0,0
Account Verification,"Confirming your address details is necessary for account validation.",1,0,0
Account Verification,"Please provide the name registered with your account for identity check.",1,0,0
Account Verification,"I need your email to confirm your account details.",1,0,0
Account Verification,"Your phone number must be matched with our records for security purposes.",1,0,0
Account Verification,"We need to verify your address to proceed with account confirmation.",1,0,0
Account Verification,"The registered name on your account is required for security verification.",1,0,0
Account Verification,"Your date of birth must be validated to ensure security in the process.",1,0,0
Account Verification,"I need your phone number for verifying account details.",1,0,0
Account Verification,"Your email address is necessary to proceed with account verification.",1,0,0
Account Verification,"We must check the name associated with your account for security purposes.",1,0,0
